,date,available,total,profit
90,2020-05-21,4593.688999999994,99904.689,-95.31100000000151
91,2020-05-22,4593.688999999994,99904.689,-95.31100000000151
92,2020-05-25,4593.688999999994,99904.689,-95.31100000000151
93,2020-05-26,4593.688999999994,99904.689,-95.31100000000151
94,2020-05-27,4593.688999999994,99904.689,-95.31100000000151
95,2020-05-28,4593.688999999994,99904.689,-95.31100000000151
96,2020-05-29,4593.688999999994,99904.689,-95.31100000000151
97,2020-06-01,4593.688999999994,99904.689,-95.31100000000151
98,2020-06-02,4593.688999999994,99904.689,-95.31100000000151
99,2020-06-03,4593.688999999994,99904.689,-95.31100000000151
100,2020-06-04,4593.688999999994,99904.689,-95.31100000000151
101,2020-06-05,4593.688999999994,99904.689,-95.31100000000151
102,2020-06-08,4593.688999999994,99904.689,-95.31100000000151
103,2020-06-09,4593.688999999994,99904.689,-95.31100000000151
104,2020-06-10,4593.688999999994,99904.689,-95.31100000000151
105,2020-06-11,4593.688999999994,99904.689,-95.31100000000151
106,2020-06-12,4593.688999999994,99904.689,-95.31100000000151
107,2020-06-15,4593.688999999994,99904.689,-95.31100000000151
108,2020-06-16,4593.688999999994,99904.689,-95.31100000000151
109,2020-06-17,4593.688999999994,99904.689,-95.31100000000151
110,2020-06-18,4593.688999999994,99904.689,-95.31100000000151
111,2020-06-19,4593.688999999994,99904.689,-95.31100000000151
112,2020-06-22,4593.688999999994,99904.689,-95.31100000000151
113,2020-06-23,4593.688999999994,99904.689,-95.31100000000151
114,2020-06-24,4593.688999999994,99904.689,-95.31100000000151
115,2020-06-29,4593.688999999994,99904.689,-95.31100000000151
116,2020-06-30,4593.688999999994,99904.689,-95.31100000000151
117,2020-07-01,4593.688999999994,99904.689,-95.31100000000151
118,2020-07-02,4593.688999999994,99904.689,-95.31100000000151
119,2020-07-03,4593.688999999994,99904.689,-95.31100000000151
120,2020-07-06,4593.688999999994,99904.689,-95.31100000000151
121,2020-07-07,4593.688999999994,99904.689,-95.31100000000151
122,2020-07-08,4593.688999999994,99904.689,-95.31100000000151
123,2020-07-09,4593.688999999994,99904.689,-95.31100000000151
124,2020-07-10,4593.688999999994,99904.689,-95.31100000000151
125,2020-07-13,4593.688999999994,99904.689,-95.31100000000151
126,2020-07-14,4593.688999999994,99904.689,-95.31100000000151
127,2020-07-15,4593.688999999994,99904.689,-95.31100000000151
128,2020-07-16,4593.688999999994,99904.689,-95.31100000000151
129,2020-07-17,4593.688999999994,99904.689,-95.31100000000151
130,2020-07-20,4593.688999999994,99904.689,-95.31100000000151
131,2020-07-21,4593.688999999994,99904.689,-95.31100000000151
132,2020-07-22,4593.688999999994,99904.689,-95.31100000000151
133,2020-07-23,4593.688999999994,99904.689,-95.31100000000151
134,2020-07-24,4593.688999999994,99904.689,-95.31100000000151
135,2020-07-27,4593.688999999994,99904.689,-95.31100000000151
136,2020-07-28,4593.688999999994,99904.689,-95.31100000000151
137,2020-07-29,4593.688999999994,99904.689,-95.31100000000151
138,2020-07-30,4593.688999999994,99904.689,-95.31100000000151
139,2020-07-31,4593.688999999994,99904.689,-95.31100000000151
140,2020-08-03,4593.688999999994,99904.689,-95.31100000000151
141,2020-08-04,4593.688999999994,99904.689,-95.31100000000151
142,2020-08-05,4593.688999999994,99904.689,-95.31100000000151
143,2020-08-06,4593.688999999994,99904.689,-95.31100000000151
144,2020-08-07,4593.688999999994,99904.689,-95.31100000000151
145,2020-08-10,4593.688999999994,99904.689,-95.31100000000151
146,2020-08-11,4593.688999999994,99904.689,-95.31100000000151
147,2020-08-12,4593.688999999994,99904.689,-95.31100000000151
148,2020-08-13,4593.688999999994,99904.689,-95.31100000000151
149,2020-08-14,4593.688999999994,99904.689,-95.31100000000151
150,2020-08-17,4593.688999999994,99904.689,-95.31100000000151
151,2020-08-18,4593.688999999994,99904.689,-95.31100000000151
152,2020-08-19,4593.688999999994,99904.689,-95.31100000000151
153,2020-08-20,4593.688999999994,99904.689,-95.31100000000151
154,2020-08-21,4593.688999999994,99904.689,-95.31100000000151
155,2020-08-24,4593.688999999994,99904.689,-95.31100000000151
156,2020-08-25,4593.688999999994,99904.689,-95.31100000000151
157,2020-08-26,4593.688999999994,99904.689,-95.31100000000151
158,2020-08-27,4593.688999999994,99904.689,-95.31100000000151
159,2020-08-28,4593.688999999994,99904.689,-95.31100000000151
160,2020-08-31,4593.688999999994,99904.689,-95.31100000000151
161,2020-09-01,4593.688999999994,99904.689,-95.31100000000151
162,2020-09-02,4593.688999999994,99904.689,-95.31100000000151
163,2020-09-03,4593.688999999994,99904.689,-95.31100000000151
164,2020-09-04,4593.688999999994,99904.689,-95.31100000000151
165,2020-09-07,4593.688999999994,99904.689,-95.31100000000151
166,2020-09-08,4593.688999999994,99904.689,-95.31100000000151
167,2020-09-09,4593.688999999994,99904.689,-95.31100000000151
168,2020-09-10,4593.688999999994,99904.689,-95.31100000000151
169,2020-09-11,4593.688999999994,99904.689,-95.31100000000151
170,2020-09-14,4593.688999999994,99904.689,-95.31100000000151
171,2020-09-15,4593.688999999994,99904.689,-95.31100000000151
172,2020-09-16,4593.688999999994,99904.689,-95.31100000000151
173,2020-09-17,4593.688999999994,99904.689,-95.31100000000151
174,2020-09-18,4593.688999999994,99904.689,-95.31100000000151
175,2020-09-21,4593.688999999994,99904.689,-95.31100000000151
176,2020-09-22,4593.688999999994,99904.689,-95.31100000000151
177,2020-09-23,4593.688999999994,99904.689,-95.31100000000151
178,2020-09-24,4593.688999999994,99904.689,-95.31100000000151
179,2020-09-25,4593.688999999994,99904.689,-95.31100000000151
180,2020-09-28,4593.688999999994,99904.689,-95.31100000000151
181,2020-09-29,4593.688999999994,99904.689,-95.31100000000151
182,2020-09-30,4593.688999999994,99904.689,-95.31100000000151
183,2020-10-09,4593.688999999994,99904.689,-95.31100000000151
184,2020-10-12,4593.688999999994,99904.689,-95.31100000000151
185,2020-10-13,4593.688999999994,99904.689,-95.31100000000151
186,2020-10-14,4593.688999999994,99904.689,-95.31100000000151
187,2020-10-15,4593.688999999994,99904.689,-95.31100000000151
