股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600004,白云机场,2013-08-21,,,,6.15,6.18,6.12,6.17,9.617396215666039,3.6637821238420427,0.003252,1673597.0,10278889.0,0.0014550000000000001,7095500000.0,7095500000.0,0,0,8.237176585899483,1.464125976072446,3.9118812676427503,0.9377872922727932,3.6614059335127855,3.6697186847145415,3.6393110630568204,3.6349770138987014,3.6769071627507808,,0.01063411028836736,0.007778923165481383,0.005710374245771954,,33.51847528899411,44.62912519606843,11.297175474845474,,3.6377190139801265,3.723167206723518,3.552270821236735,50.0,59.72222222222221,52.44120598773156,53.39499585107047,49.72855983751223,0.009756097244732365,0.5291012868477059
sh600004,白云机场,2013-08-20,,,,6.17,6.2,6.13,6.15,9.58622182229992,3.6519061251231433,-0.0032409999999999995,2209965.0,13609787.0,0.0019219999999999999,7072500000.0,7072500000.0,0,0,8.21047585142331,1.4593800247723734,3.899200939384589,0.9347474631244213,3.667343537406464,3.668530802301435,3.6377190139801265,3.6316631944394966,3.6810686142769202,5日、10日均线死叉；,0.010934054379305724,0.007065126384759887,0.007737855989091675,,36.27771293349111,50.18445014960559,8.464238501262159,,3.6375654701996396,3.7294974679388546,3.5456334724604246,50.0,63.88888888888888,46.119021470163425,51.09165981962004,48.73927010304475,0.011345224390243991,0.6259551277668292
sh600004,白云机场,2013-08-19,,,,6.12,6.19,6.11,6.17,9.617391789088355,3.663780437521149,0.003252,2742311.0,16856616.0,0.002385,7095500000.0,7095500000.0,0,0,8.237176585899483,1.464125976072446,3.9118812676427503,0.9377872922727932,3.679219173979592,3.6685305197602185,3.6375654701996396,3.6257420802820297,3.6850525878162506,,0.012367043915782805,0.006097894386123426,0.012538299059318758,,44.41656940023652,57.13781875766282,18.97407068538392,,3.6340027481753756,3.7259987398425345,3.5420067565082167,58.333333333333336,66.66666666666664,51.86356882636359,53.5157930415773,49.675976555301474,0.013008129659643597,0.7332104360321312
sh600004,白云机场,2013-08-16,,,,6.16,6.35,6.13,6.15,9.586217410070807,3.651904444268388,-0.006462000000000001,5411603.0,33661687.0,0.004706,7072500000.0,7072500000.0,0,0,8.21047585142331,1.4593800247723734,3.899200939384589,0.9347474631244213,3.685157226237048,3.666155065529592,3.6340027481753756,3.6188620637647415,3.6894017238789445,,0.01280715447758718,0.004530607003708581,0.016553094947757196,,52.62485410035473,63.49844343637597,30.87767542831226,,3.6293444922557576,3.7210000953544013,3.537688889157114,58.333333333333336,68.05555555555554,46.28745420384892,51.40182029008905,48.73158421839749,0.03554119674796741,1.2551571445854133
sh600004,白云机场,2013-08-15,,,,6.23,6.24,6.17,6.19,9.648566446447752,3.67565653680925,-0.004823,3777993.0,23463008.0,0.003285,7118500000.0,7118500000.0,0,0,8.263877320375656,1.4688719273725188,3.9245615959009124,0.9408271214211656,3.6851572812420565,3.6631858068328214,3.6293444922557576,3.6155687196258683,3.6944180664935704,,0.01439180175162491,0.002461470135238931,0.02386066323277196,,67.39881961207045,68.9352381043866,64.32598262743818,死叉,3.6263140305484085,3.718041785861909,3.534586275234908,66.66666666666666,68.05555555555554,57.36221659955692,56.077279458700744,50.5497984619328,0.011254021001615655,1.0189265553788958
sh600004,白云机场,2013-08-14,,,,6.25,6.3,6.21,6.22,9.69532700861028,3.693470143310436,-0.0048,3510871.0,21916149.0,0.003053,7153000000.0,7153000000.0,0,0,8.303928422089916,1.475990854322628,3.943582088288154,0.9453868651437236,3.6780314359162687,3.6572475467017553,3.6263140305484085,3.6112959776796374,3.6986631260029266,,0.013786657733576568,-0.0005211127688575653,0.028615541004868267,,76.09822941810559,69.70344735054466,88.88779355322745,,3.6235190805419295,3.7151028655304104,3.5319352955534487,75.0,68.05555555555554,67.44798069675863,59.817851257329856,51.942717139094675,0.01440000000000008,1.0397900915114058
sh600004,白云机场,2013-08-13,,,,6.23,6.26,6.2,6.25,9.742089035982996,3.711284307988782,0.004823,3257931.0,20326607.0,0.002833,7187500000.0,7187500000.0,0,0,8.343979523804176,1.4831097812727372,3.9626025806753953,0.9499466088662818,3.6697180671963765,3.645965182650289,3.6235190805419295,3.605866321268105,3.7021420518359776,,0.010999991685204158,-0.0040980553944661,0.030196094159340516,,82.32916230897662,66.5060563167642,113.97537429340147,,3.621241060280191,3.7131116747158575,3.5293704458445245,75.0,68.05555555555554,79.027592326032,63.71376541029106,53.351630315724506,0.009646300799999952,0.9864282402764818
sh600004,白云机场,2013-08-12,,,,6.15,6.23,6.12,6.22,9.695328466787679,3.6934706988084285,0.011382,5599074.0,34632418.0,0.004869,7153000000.0,7153000000.0,0,0,8.303928422089916,1.475990854322628,3.943582088288154,0.9453868651437236,3.6578418655408145,3.6299324470236534,3.621241060280191,3.6004059616640145,3.704667143141397,10日、20日均线金叉；,0.0054693867371562455,-0.007872567164383667,0.026683907803079825,,75.4937434634649,58.594503320658,109.29222374907867,,3.6184459812288887,3.7078179551615156,3.529074007296262,66.66666666666666,66.66666666666666,75.52628576451535,61.4099267076476,52.106722549551584,0.017886176848874724,1.6335676412353588
sh600004,白云机场,2013-08-09,,,,6.15,6.16,6.1,6.15,9.58621813200915,3.651904719293431,0.0032630000000000003,2393215.0,14669163.0,0.002081,7072500000.0,7072500000.0,0,0,8.21047585142331,1.4593800247723734,3.899200939384589,0.9347474631244213,3.647152904822106,3.6150872816250454,3.6184459812288887,3.595727111423558,3.706832208450979,,0.0001445182765613673,-0.011208055639768644,0.022705147832660023,,65.51334246792477,50.14488324925455,96.25026090526524,,3.6166029342636805,3.705361007983832,3.527844860543529,66.66666666666666,65.27777777777777,63.76258738053716,55.345771719217105,49.06723288330958,0.009787931707317288,0.8663848966441009
sh600004,白云机场,2013-08-08,,,,6.12,6.18,6.12,6.13,9.555040036370473,3.640027310180312,-0.003252,2121504.0,13050814.0,0.0018449999999999999,7049500000.0,7049500000.0,0,0,8.183775116947135,1.4546340734723004,3.886520611126428,0.9317076339760492,3.641214332423556,3.609149107309281,3.6166029342636805,3.5920583585674395,3.709502357024578,,-0.002421879819274775,-0.014046199118851148,0.023248638599152747,,56.9656658758002,42.460653639919435,85.97569034756172,,3.6176061784907594,3.7097340823273823,3.5254782746541364,58.333333333333336,62.49999999999999,59.078828799177685,53.428838910392884,48.16641362331619,0.009756097879282222,0.6797401670475532
