¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,ÐÂÀËÐÐÒµ,ÐÂÀË¸ÅÄî,ÐÂÀËµØÓò,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,ºó¸´È¨¼Û,Ç°¸´È¨¼Û,ÕÇµø·ù,³É½»Á¿,³É½»¶î,»»ÊÖÂÊ,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ,ÊÇ·ñÕÇÍ£,ÊÇ·ñµøÍ£,ÊÐÓ¯ÂÊTTM,ÊÐÏúÂÊTTM,ÊÐÏÖÂÊTTM,ÊÐ¾»ÂÊ,MA_5,MA_10,MA_20,MA_30,MA_60,MA½ð²æËÀ²æ,MACD_DIF,MACD_DEA,MACD_MACD,MACD_½ð²æËÀ²æ,KDJ_K,KDJ_D,KDJ_J,KDJ_½ð²æËÀ²æ,²¼ÁÖÏßÖÐ¹ì,²¼ÁÖÏßÉÏ¹ì,²¼ÁÖÏßÏÂ¹ì,psy,psyma,rsi1,rsi2,rsi3,Õñ·ù,Á¿±È
sh600001,ºªµ¦¸ÖÌú,2003-09-18,,,,5.06,5.11,5.05,5.07,6.785888119736892,2.616257142980768,0.0019760000000000003,709704.0,3603655.0,0.001448,2484300000.0,7536824220.0,0,0,13.503164270388966,0.7230372907796462,8.247606410469725,1.0683583749334575,2.6307063747633403,2.6575400037784576,2.675344213017007,2.6857510079644884,2.7571344742213353,,-0.0299982695089267,-0.02472017919486427,-0.010556180628124863,,8.198152359919984,12.95448018364195,-1.314503287523948,,2.67895655495062,2.761704280116627,2.596208829784613,25.0,31.94444444444456,25.32419458453904,31.763808073425754,37.4540731986969,0.011857704142011705,0.8530243792681027
sh600001,ºªµ¦¸ÖÌú,2003-09-17,,,,5.1,5.16,5.05,5.06,6.772505648575308,2.611097614095316,-0.001972,745289.0,3780891.0,0.001521,2479400000.0,7521958690.0,0,0,13.476530812091804,0.7216111818213556,8.231338943305284,1.0662511593463964,2.6399951662491494,2.6673447555052143,2.67895655495062,2.6902233371663806,2.7609288370756286,,-0.028528318607387693,-0.023400656616348655,-0.010255323982078075,,8.297228539879884,15.332644095502934,-5.773602571366215,,2.6836008888320118,2.76380381329912,2.6033979643649037,25.0,33.33333333333345,20.546256877438417,29.81782923989922,36.67058442983123,0.021696260869565442,0.8369705911617387
sh600001,ºªµ¦¸ÖÌú,2003-09-15,,,,5.1,5.17,5.05,5.07,6.785887418564718,2.6162568726481785,-0.007828,833152.0,4252784.0,0.0017,2484300000.0,7536824220.0,0,0,13.503164270388966,0.7230372907796462,8.247606410469725,1.0683583749334575,2.651347792047475,2.678181614806625,2.6836008888320118,2.694867650664455,2.764218799544615,10ÈÕ¡¢20ÈÕ¾ùÏßËÀ²æ£»,-0.02571183551770595,-0.022118741118588893,-0.007186188798234114,,10.975254574525737,18.85035187331446,-4.774940023051705,,2.686955245679667,2.7690024908026234,2.6049080005567107,33.33333333333333,34.722222222222335,21.70339229584006,30.618200861343414,37.11612806773589,0.023483360946745524,0.8811136598464202
sh600001,ºªµ¦¸ÖÌú,2003-09-12,,,,5.18,5.22,5.09,5.11,6.8394264488059715,2.6368985142174717,-0.013513999999999998,1268548.0,6523261.0,0.002589,2503900000.0,7596286340.0,0,0,13.609698103577605,0.7287417266128086,8.312676279127496,1.0767872372817022,2.6647646049082843,2.6905666711846115,2.686955245679667,2.7003720697879947,2.767422774371054,,-0.022268294910182895,-0.021220467518809627,-0.0020956547827465366,ËÀ²æ,13.521705391200301,22.78790052270882,-5.010684871816736,,2.688761493268747,2.77828322736819,2.599239759169304,33.33333333333333,34.722222222222335,26.72076061712835,33.96146297935021,38.929665925431806,0.02509651272015656,1.3812614179775178
sh600001,ºªµ¦¸ÖÌú,2003-09-11,,,,5.16,5.2,5.15,5.18,6.933120641150478,2.673021729875003,0.0038759999999999997,603235.0,3123526.0,0.001231,2538200000.0,7700345060.0,0,0,13.796132329573975,0.7387244902801823,8.426548560221681,1.0915377478086492,2.674053089455234,2.6972753099749256,2.688761493268747,2.704844452038824,2.7704514160664084,,-0.01965087684130573,-0.020958510670966306,0.0026152676593211507,,16.94922475346704,27.42099808846308,-3.9943219165250383,,2.6887615800749503,2.789501183167599,2.5880219769823016,41.66666666666667,34.722222222222335,40.311271618838084,41.17358474047672,42.4045052481551,0.009689922779922644,0.741177100823971
sh600001,ºªµ¦¸ÖÌú,2003-09-10,,,,5.2,5.2,5.15,5.16,6.906351622262587,2.6627011004098144,-0.001934,1002077.0,5172729.0,0.002045,2528400000.0,7670614000.0,0,0,13.742865412979656,0.7358722723636009,8.394013625892793,1.0873233166345264,2.684373632793553,2.6967593419838347,2.6887615800749503,2.7088007910272394,2.7734683620286327,5ÈÕ¡¢20ÈÕ¾ùÏßËÀ²æ£»,-0.019702268800832368,-0.021285419128381448,0.00316630065509816,,19.173837130200678,32.6568847559611,-7.792258121320174,,2.6905677363342475,2.7987784386844283,2.5823570339840667,33.33333333333333,33.333333333333435,32.08740987117294,37.7091520825144,40.961643614186016,0.009671182170542525,0.9628773021520864
sh600001,ºªµ¦¸ÖÌú,2003-09-09,,,,5.2,5.21,5.15,5.17,6.919734388570082,2.6678607430869445,-0.005769,1020823.0,5276998.0,0.0020829999999999998,2533300000.0,7685479530.0,0,0,13.769498871276815,0.7372983813218916,8.410281093057238,1.0894305322215876,2.694694344761257,2.6998556983206963,2.6905677363342475,2.7134451470996694,2.776994663046194,5ÈÕ¡¢10ÈÕ¾ùÏßËÀ²æ£»,-0.018430457446523718,-0.021681206710268717,0.0065014985274899975,,26.677422361967718,39.39840856884131,1.235449948220534,,2.6936639717896282,2.80607150623251,2.5812564373467466,33.33333333333333,34.722222222222335,34.041403415053146,38.75510846786774,41.45925197513194,0.011538464216634292,1.0698311071538313
sh600001,ºªµ¦¸ÖÌú,2003-09-08,,,,5.2,5.23,5.16,5.2,6.959885970735255,2.683340936952222,0.0,697308.0,3618373.0,0.001423,2548000000.0,7730076120.0,0,0,13.849399246168295,0.7415767081967634,8.459083494550567,1.0957521789827716,2.7050154375657542,2.700371981584669,2.6936639717896282,2.717573483251867,2.7805192866382145,,-0.0170644297367466,-0.022493894026204962,0.010858928578916724,,35.84946687628499,45.758901672278114,16.03059728429875,,2.6959861975517447,2.81403407169274,2.5779383234107494,33.33333333333333,36.11111111111123,40.15511354825307,41.95566598096924,42.959785710621844,0.013461538461538414,0.7022181904750779
sh600001,ºªµ¦¸ÖÌú,2003-09-05,,,,5.3,5.3,5.2,5.2,6.959885970735255,2.683340936952222,-0.015152,745996.0,3914206.0,0.0015220000000000001,2548000000.0,7730076120.0,0,0,13.849399246168295,0.7415767081967634,8.459083494550567,1.0957521789827716,2.7163687374609173,2.6993402454621136,2.6959861975517447,2.721185812941889,2.783785906999147,,-0.016648836948198298,-0.023851260098569547,0.0144048463007425,,45.07854814051442,50.71361907027467,33.808406280993935,ËÀ²æ,2.6980504013251854,2.823181537007458,2.5729192656429127,33.33333333333333,36.11111111111123,40.15511354825307,41.955665980969236,42.95978571062184,0.01893938461538447,0.6076597139487651
sh600001,ºªµ¦¸ÖÌú,2003-09-04,,,,5.27,5.39,5.23,5.28,7.066964618636839,2.724624446566599,0.0038020000000000003,1737351.0,9221928.0,0.003546,2587200000.0,7849000370.0,0,0,14.062466930461829,0.7529855808224276,8.58922324280919,1.1126099050967793,2.7204975304945953,2.6983085093395585,2.6980504013251854,2.724970150201778,2.7865465016303426,10ÈÕ¡¢20ÈÕ¾ùÏß½ð²æ£»,-0.015876224524295157,-0.025651865886162355,0.019551282723734395,,57.20115554410497,53.53115453515479,64.54115756200532,,2.6998565100575043,2.8277710949072796,2.571941925207729,33.33333333333333,34.72222222222234,60.167375490641675,51.48332915319519,47.13840272404241,0.030418242424242403,1.2285166166261015
